,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
1,50,0,83311,0,13,0,0,0,0,0,0,0,13,0,0
6,49,1,160187,1,5,1,1,1,1,1,0,0,16,1,0
17,32,1,186824,2,9,2,2,2,0,0,0,0,40,0,0
18,38,1,28887,3,7,0,3,0,0,0,0,0,50,0,0
25,56,2,216851,0,13,0,4,0,0,0,0,0,40,0,1
28,39,1,367260,2,9,3,0,1,0,0,0,0,80,0,0
31,20,1,266015,4,10,2,3,3,1,0,0,0,44,0,0
34,22,3,311512,4,10,0,1,0,1,0,0,0,15,0,0
44,25,1,289980,2,9,2,5,1,0,0,0,0,35,0,0
49,29,1,271466,5,11,2,6,1,0,0,0,0,43,0,0
59,30,1,188146,2,9,0,2,0,0,0,5013,0,40,0,0
61,32,1,293936,6,4,1,7,1,0,0,0,0,40,2,0
65,36,1,155537,2,9,0,8,0,0,0,0,0,40,0,0
66,28,1,183175,4,10,3,9,1,0,1,0,0,40,0,0
72,29,0,162298,0,13,0,3,0,0,0,0,0,70,0,1
75,27,1,213921,2,9,2,1,3,0,0,0,0,40,3,0
77,67,1,212759,7,6,0,7,0,0,0,0,0,2,0,0
81,52,1,276515,0,13,0,1,0,0,0,0,0,40,4,0
83,59,1,159937,2,9,0,3,0,0,0,0,0,48,0,0
84,44,1,343591,2,9,3,8,1,0,1,14344,0,40,0,1
85,53,1,346253,2,9,3,3,3,0,1,0,0,35,0,0
88,30,1,54334,1,5,2,3,1,0,0,0,0,40,0,0
92,28,1,212563,4,10,3,2,2,1,1,0,0,25,0,0
97,37,1,202683,4,10,0,3,0,0,0,0,0,48,0,1
102,47,0,149116,8,14,2,6,1,0,1,0,0,50,0,0
109,42,1,124692,2,9,0,5,0,0,0,0,0,40,0,0
110,24,1,432376,0,13,2,3,4,0,0,0,0,40,0,0
125,47,1,287828,0,13,0,0,5,0,1,0,0,40,0,1
126,20,1,111697,4,10,2,9,3,0,1,0,1719,28,0,0
127,31,1,114937,9,12,0,9,0,0,0,0,0,40,0,1
136,43,0,56920,2,9,0,8,0,0,0,0,0,60,0,0
139,49,1,81973,4,10,0,8,0,2,0,0,0,40,0,1
153,21,1,296158,2,9,2,8,3,0,0,0,0,35,0,0
154,52,1,252903,2,9,3,7,1,0,0,0,0,45,0,1
165,36,1,207157,4,10,3,1,2,0,1,0,0,40,3,0
168,18,1,25828,3,7,2,5,3,0,0,0,0,16,0,0
174,28,3,149624,0,13,0,6,0,0,0,0,0,40,0,1
175,27,1,253814,2,9,1,3,2,0,1,0,0,25,0,0
178,18,1,183930,2,9,2,1,3,0,0,0,0,12,0,0
184,37,4,29054,4,10,0,9,0,0,0,0,0,42,0,1
186,41,0,143129,0,13,3,0,1,0,1,0,0,40,0,0
187,53,1,135105,0,13,3,7,1,0,1,0,0,50,0,0
190,38,1,155222,4,10,3,2,1,1,1,0,0,28,0,0
193,47,1,120939,4,10,0,4,0,0,0,0,0,45,0,0
194,41,4,130760,0,13,0,4,0,0,0,0,0,24,0,0
200,26,1,397317,8,14,2,6,1,0,1,0,1876,40,0,0
207,35,1,36270,2,9,3,8,1,0,0,0,0,60,0,0
219,25,1,255004,7,6,2,8,1,0,0,0,0,40,0,0
237,41,1,180138,0,13,0,0,0,0,0,0,0,50,5,1
247,32,1,183916,2,9,2,1,1,0,1,0,0,34,0,0
248,40,1,207578,9,12,0,4,0,0,0,0,1977,60,0,1
251,42,1,390781,0,13,0,9,5,1,1,0,0,40,0,0
264,26,1,378322,3,7,0,8,0,0,0,0,0,40,0,0
276,44,1,170924,4,10,0,8,0,0,0,7298,0,40,0,1
282,34,1,175413,9,12,3,3,2,1,1,0,0,45,0,0
283,60,1,173960,0,13,3,6,1,0,1,0,0,42,0,0
285,57,4,425161,8,14,0,3,0,0,0,15024,0,40,0,1
289,50,1,193884,6,4,0,8,0,0,0,0,0,40,6,0
294,27,1,248402,0,13,2,4,2,1,1,0,0,40,0,0
297,39,1,157443,8,14,0,7,5,2,1,3464,0,40,2,0
308,35,1,193815,9,12,0,9,0,0,0,0,0,40,0,1
312,19,1,860348,4,10,2,7,3,1,1,0,0,25,0,0
316,77,0,138714,4,10,0,3,0,0,0,0,0,40,0,0
318,29,1,423158,4,10,2,4,1,0,1,0,0,40,0,0
325,63,0,78383,2,9,0,10,0,0,0,0,0,45,0,0
343,33,1,85043,2,9,2,10,1,0,0,0,0,20,0,0
344,22,3,293364,4,10,2,11,3,1,1,0,0,40,0,0
352,33,1,111363,0,13,0,0,0,0,0,0,0,40,0,1
